Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Light color (product.metafields.shopify.light-color),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
vintage-textured-earrings,,,,,,,,,silver,,,,,,,,"",0.0,shopify,continue,manual,49.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-20_17-22-55.jpg?v=1742462591,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,22.00,,,,,,,,,,
vintage-textured-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/821cd6fa-5415-4fc1-8027-b01b62f5c34d.jpg?v=1742462570,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-textured-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/d8d155be-b0e1-4fc5-a4b7-4249ebb36baf.jpg?v=1742462569,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural-pearl-bracelet,Healing: Spiritual Turquoise Pearl Bracelet,"<div class=""paragraph"">This Turquoise promotes <meta charset=""utf-8"">
<span>physical healing, emotional balance, and spiritual protection. This bracelet is</span> perfect blend of classic elegance and contemporary style. Crafted with high-quality 925 sterling silver and adorned with Turquoise and natural pearls, it features a choice of vintage gold or white gold finish, making it a versatile accessory for any occasion.</div>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Turquoise and Pearls</div>
</li>
<li>
<div class=""paragraph"">Height: 0.866 inch (222mm)</div>
</li>
<li>
<div class=""paragraph"">Pearl size: 0.236 to 0.374 inch (6*9 to 9.5mm)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver, natural Turquoise and pearls<br>
</div>
</li>
<li>
<div class=""paragraph"">Adjustable chain length for a comfortable fit</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Bracelets,Bracelet,Bracelet,true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,52.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/0da6835d-faf2-4f25-8727-5f1f4a7a0936.jpg?v=1742462318,1,"",false,,,191,,adult,,,,,,,,,,,adults,beaded,,,sterling-silver; white-gold-1,fine-jewelry,,,,,female,,,,,,g,,14.00,true,,,true,,,true,,,active
natural-pearl-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/99a6a33c-c517-44e8-8568-3929380b295a.jpg?v=1742462318,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural-pearl-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/711722b1-ad08-47a7-add2-5cd5ce35aca8.jpg?v=1742462318,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural-pearl-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/a26b7baf-4e85-4cb8-8a3c-a3f676d6a39b.jpg?v=1742462318,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashionable-pearl-earrings,Classic Fashionable Pearl Earrings,"<div class=""paragraph"">These elegant pearl earrings are a perfect blend of classic elegance and contemporary style. Crafted with high-quality 925 sterling silver and adorned with natural pearls, they feature a choice of vintage gold or white gold finish, making them a versatile accessories for any occasion.</div>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls</div>
</li>
<li>
<div class=""paragraph"">Height: 0.866 inch (22MM)</div>
</li>
<li>
<div class=""paragraph"">Pearl size: 0.236 to 0.374 inch (6*9 to 9.5MM)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural pearls</div>
</li>
<li>
<div class=""paragraph"">Available in vintage gold and white gold colors</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,50.12,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/4aadb2a7-4f79-4aa9-b28e-4a78662a2031.jpg?v=1742461291,1,"",false,,,194,,adult,,,,,,,,,,,adults,,gold,dangle,sterling-silver; white-gold-1; pearl,fine-jewelry,,,,,female,,,,,,g,,10.00,true,,,true,,,true,,,active
fashionable-pearl-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/f0379f4b-9b07-464d-a367-e4fcf920c78c.jpg?v=1742461291,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elegant-tigers-eye-and-malachite-necklace,Elegant Tiger's Eye and Malachite Necklace,"<p><span>This elegant tiger's eye and malachite necklace is a perfect blend of classic elegance and contemporary style. Crafted with high-quality 925 sterling silver, it features tiger's eye stones and malachite, all set in a vintage gold finish, making it's a versatile accessory for any occasion.</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Tiger's Eye</div>
</li>
<li>
<div class=""paragraph"">Malachite</div>
</li>
<li>
<div class=""paragraph"">Chain length: 17.7 inch (45cm) + 1.97 inch (5cm) extension</div>
</li>
<li>
<div class=""paragraph"">Pendant height: 0.748 inch (19mm)</div>
</li>
<li>
<div class=""paragraph"">Pendant width:0.394 inch (10mm)</div>
</li>
<li>
<div class=""paragraph"">Tiger's eye size: 0.236 inch (6mm)</div>
</li>
<li>
<div class=""paragraph"">Malachite size: 0.236 inch (6mm)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural stones</div>
</li>
<li>
<div class=""paragraph"">Vintage gold finish for a touch of sophistication</div>
</li>
<li>
<div class=""paragraph"">Adjustable chain length for a comfortable fit</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Necklaces,Necklace,"pendant, pendants",true,Color,green,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,continue,manual,54.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/9dd9f6f6-bc31-4e9d-baa6-2f7a558a0cb1.jpg?v=1742460994,1,"",false,,,196,,adult,,,,,,,,,,,adults,,green; brown,,sterling-silver,fine-jewelry,,pendant,,,unisex,,,,,,g,,18.00,true,,,true,,,true,,,active
elegant-tigers-eye-and-malachite-necklace,,,,,,,,,brown,,,,,,,,"",0.0,shopify,continue,manual,54.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/39f88477-ff90-4fa7-8d92-59056be732f5.jpg?v=1742460994,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,18.00,,,,,,,,,,
elegant-tigers-eye-and-malachite-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/fb2fb563-d4bc-4b04-ad25-5c0f99208019.jpg?v=1742460994,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elegant-tigers-eye-and-malachite-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-20_16-57-18.jpg?v=1742461053,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elegant-tigers-eye-and-malachite-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-20_16-57-08.jpg?v=1742461054,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-silver-stud-earrings,Minimalist Silver Stud Earrings,"<p><span>These minimalist silver stud earrings are a perfect blend of classic elegance and contemporary style. Crafted with high-quality 925 sterling silver, they feature a simple and sleek design, available in both white gold and vintage gold finishes, making them a versatile accessories for any occasion.</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Height:  0.472 inch (12mm)</div>
</li>
<li>
<div class=""paragraph"">Width:  0.354 inch (9mm)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver</div>
</li>
<li>
<div class=""paragraph"">Available in white gold and vintage gold colors</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Color,silver,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,deny,manual,46.76,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/2196e69f-1fc9-44da-b611-8b06bc669c6d_4bdc6e25-6fc5-4951-a719-b2b648032986.jpg?v=1742460773,1,"",false,,,194,,,,,,,,,,,,,,,silver; shopify--color-pattern-3e90y7ps,stud,sterling-silver; white-gold-1; gold,fine-jewelry,,,,,,,,,,,g,,9.30,true,,,true,,,true,,,active
minimalist-silver-stud-earrings,,,,,,,,,shopify--color-pattern-3e90y7ps,,,,,,,,"",0.0,shopify,deny,manual,46.76,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-20_16-52-26.jpg?v=1742460773,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,9.30,,,,,,,,,,
minimalist-silver-stud-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/127471a0-6293-47f8-ae4e-a0d3dbda432d_67e8ff00-c255-4750-a291-c5f7cc97a8e4.jpg?v=1742460773,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sterling-silver-agate-and-tigers-eye-earrings,Sterling Silver Agate and Tiger's Eye Earrings,"<p><span>These sterling silver agate and tiger's eye earrings are a perfect blend of classic elegance and contemporary style. Crafted with high-quality 925 sterling silver, they feature natural agate and tiger's eye stones, all set in a vintage gold finish, making them a versatile accessory for any occasion.</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Agate</div>
</li>
<li>
<div class=""paragraph"">Tiger's Eye</div>
</li>
<li>
<div class=""paragraph"">Height: 0.472 inch (12mm)</div>
</li>
<li>
<div class=""paragraph"">Width: 0.354 inch (9mm)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural stones</div>
</li>
<li>
<div class=""paragraph"">Vintage gold finish for a touch of sophistication</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Color,brown,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,continue,manual,44.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/7e502d72-5911-40ec-a7d0-4a761c812307.jpg?v=1742443312,1,"",false,,,194,,adult,,,,,,,,,,,adults,,brown; red,dangle,sterling-silver,fine-jewelry,,,,,female,,,,,,g,,8.80,true,,,true,,,true,,,active
sterling-silver-agate-and-tigers-eye-earrings,,,,,,,,,red,,,,,,,,"",0.0,shopify,continue,manual,44.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/0403ac6f-3080-4eac-b196-e3bd492c467d.jpg?v=1742443312,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,8.80,,,,,,,,,,
sterling-silver-agate-and-tigers-eye-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/5693f009-1b7f-4d1c-b1e1-c19fc6c2cf4a.jpg?v=1742443312,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sterling-silver-agate-and-tigers-eye-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/60650eb2-f68b-4f61-9642-475e3c849af7.jpg?v=1742443312,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
